rating,comment,cleaned_review,aspect,sentiment_label,sentiment
5,Looks ok. Not like so durable. Will hv to use a while to recommend others of its worth.,look ok not like durable hv use recommend others worth,Product Quality,2,Positive
5,"Tried, the current can be very powerful depending on the setting, i don't dare to go higher but if go higher sure muscle will become sore and can see the effect faster.",tried current can powerful depending setting dont dare go higher but go higher sure muscle become sore can see effect faster,Product Quality,2,Positive
5,"Item received after a week. Looks smaller than expected, can’t wait to try!",item received week look smaller expected can’t wait try,Delivery & Service,2,Positive
5,Thanks!!! Works as describe no complaints. Not really expecting any life changing results but thanks!,thanks work describe no complaint not really expecting life changing result but thanks,Product Quality,2,Positive
5,Fast delivery considering it’s from overseas and only tried once. Not sure about the results yet.,fast delivery considering it’s overseas tried not sure result yet,Delivery & Service,2,Positive
5,Fast delivery good service ,fast delivery good service,Delivery & Service,2,Positive
5,Got my order and it came well packaged. Have yet to try but looks good so far. Thanks! ,got order came well packaged yet try but look good far thanks,Packaging Quality,2,Positive
5,"Items received in a nice box. Have not used it yet, hopefully it works!",item received nice box not used yet hopefully work,Packaging Quality,2,Positive
5,"Received in good condition, tried so far so good. Not that bad. ",received good condition tried far good not bad,Delivery & Service,2,Positive
1,"Item doesn’t work . 

Asked me to send a refund , show a non working machine and deem not enough evidence . 

Don’t waste time buying . ",item doesn’t work asked send refund show non working machine deem not enough evidence don’t waste time buying,Others,0,Negative
5,Fast. Great,fast great,Others,2,Positive
5,"I've tried it, and it works as advertised",ive tried work advertised,Product Quality,2,Positive
5,Hub uses it. Muscle growth on the upper arm. ,hub us muscle growth upper arm,Others,2,Positive
5,"Well received. Fast delivery and yet to replace the old pads. Hope it works, will update again once tried. ",well received fast delivery yet replace old pad hope work update tried,Delivery & Service,2,Positive
5,Product received. Packaging damage but the unit are working well. Satisfied with the purchased. Thank you.,product received packaging damage but unit working well satisfied purchased thank,Product Quality,2,Positive
5,Good.. ,good,Others,2,Positive
5,"box was a little beat up and had a smell, but overall nicely packed. came w a guide manual too!",box little beat smell but overall nicely packed came guide manual,Packaging Quality,2,Positive
4,"Fast delivery, however the product casing was slightly dented. ",fast delivery however product casing slightly dented,Delivery & Service,2,Positive
5,"Fast delivery, prompt response. The material is good. Exactly like the photo. ",fast delivery prompt response material good exactly like photo,Delivery & Service,2,Positive
5,"Product received was exactly the the same as photos! Impressed with the quality as well, texture isn’t sticky as with some rubber products. definitely a good buy!!! ",product received exactly photo impressed quality well texture isn’t sticky rubber product definitely good buy,Product Quality,2,Positive
5,the bands were individually wrapped and came with a waterprood bag and guide pamplet as well.,band individually wrapped came waterprood bag guide pamplet well,Packaging Quality,2,Positive
5,Can really feel it. Treating it as a massage device. Cant help you slim down without excercise. The chip can be better improved.,can really feel treating massage device cant help slim without excercise chip can better improved,Others,2,Positive
5,Product is okay havent tried but hope its ok,product okay havent tried but hope ok,Others,2,Positive
5,Great deal and delivery is fast ... response from seller is fast as well... will recommend to other buyers. ,great deal delivery fast response seller fast well recommend buyer,Delivery & Service,2,Positive
5,"was given a replacement pack, because the one i had before was faulty, thank u",given replacement pack one faulty thank,Product Quality,2,Positive
5,Received in good condition.  Will be using soon to see if it works well.,received good condition using soon see work well,Product Quality,2,Positive
5,received. well packaged. ,received well packaged,Packaging Quality,2,Positive
5,Good and fast delivery,good fast delivery,Delivery & Service,2,Positive
5,"Have not yet tried, box was silght damaged but the rest is still in tect so hopefully it works and thanks for the welcome instruction menual. ",not yet tried box silght damaged but rest still tect hopefully work thanks welcome instruction menual,Packaging Quality,2,Positive
5,"No bad, cheap & good. Recomended.",no bad cheap good recomended,Others,2,Positive
5,Just received.. haven't try,received havent try,Delivery & Service,2,Positive
5,Nice product. Love it!,nice product love,Others,2,Positive
5,Received fast. Nice ,received fast nice,Delivery & Service,2,Positive
5,"Fast delivery, everything is operational. Hopefully it works ",fast delivery everything operational hopefully work,Delivery & Service,2,Positive
