rating,comment
5,Looks ok. Not like so durable. Will hv to use a while to recommend others of its worth.
5,"Tried, the current can be very powerful depending on the setting, i don't dare to go higher but if go higher sure muscle will become sore and can see the effect faster."
5,"Item received after a week. Looks smaller than expected, can’t wait to try!"
5,Thanks!!! Works as describe no complaints. Not really expecting any life changing results but thanks!
5,Fast delivery considering it’s from overseas and only tried once. Not sure about the results yet.
5,Fast delivery good service 
5,Got my order and it came well packaged. Have yet to try but looks good so far. Thanks! 
5,"Items received in a nice box. Have not used it yet, hopefully it works!"
5,"Received in good condition, tried so far so good. Not that bad. "
1,"Item doesn’t work . 

Asked me to send a refund , show a non working machine and deem not enough evidence . 

Don’t waste time buying . "
5,Fast. Great
5,"I've tried it, and it works as advertised"
5,Hub uses it. Muscle growth on the upper arm. 
5,"Well received. Fast delivery and yet to replace the old pads. Hope it works, will update again once tried. "
5,Product received. Packaging damage but the unit are working well. Satisfied with the purchased. Thank you.
5,Good.. 
5,"box was a little beat up and had a smell, but overall nicely packed. came w a guide manual too!"
4,"Fast delivery, however the product casing was slightly dented. "
5,"Fast delivery, prompt response. The material is good. Exactly like the photo. "
5,"Product received was exactly the the same as photos! Impressed with the quality as well, texture isn’t sticky as with some rubber products. definitely a good buy!!! "
5,the bands were individually wrapped and came with a waterprood bag and guide pamplet as well.
5,Can really feel it. Treating it as a massage device. Cant help you slim down without excercise. The chip can be better improved.
5,Product is okay havent tried but hope its ok
5,Great deal and delivery is fast ... response from seller is fast as well... will recommend to other buyers. 
5,"was given a replacement pack, because the one i had before was faulty, thank u"
5,Received in good condition.  Will be using soon to see if it works well.
5,received. well packaged. 
5,Good and fast delivery
5,"Have not yet tried, box was silght damaged but the rest is still in tect so hopefully it works and thanks for the welcome instruction menual. "
5,"No bad, cheap & good. Recomended."
5,Just received.. haven't try
5,Nice product. Love it!
5,Received fast. Nice 
5,"Fast delivery, everything is operational. Hopefully it works "
5,Well received..................
5,"Looks good , but need to try out to see if it’s work 😂"
5,Tested to be working perfectly. Hopefully will help recover and strengthen from C-section before I start lifting weights again.
5,"Product received in good condition.
The electric shock from the EMS is a great fit for the different muscles. Can feel the burn. "
5,The product is great. Love using it. Awesome and nice to use.
5,Received earlier than expected. Good packaging as if bought from shop. Vibration motion can be feel. Very3 satisfied.
5,Received well packed and very good condition.. Will try and update again how it works for me.. Thank you seller.. Will definitely buy again to this seller.. 
5,"Thanks for the item 
"
5,"No bad use
"
4,"Item received and working. Only thing is the arm band doesn't stick well. Moden4 is already very strong, don't dare try Mode 6."
5,"Item received as stated. Hope it works, will try out soon. Thanks.
"
5,Good
5,"Fast delivery. 
Looks legit as you can feel the effects when using. "
5,Arrived in good condition will test out after charging the energy pads
4,Item looks good. Good thing is it's rechargeable.
5,Item received in good condition. Will try it out later
5,Thnk u my order are recieved now
5,"Nicely packed.
Thin pads
Strong frequency 
Hopefully can see the effects soon"
5,Product arrived in neatly packed package. Have tried for a few hours today and it worked. The vibration can be quite strong. User manual is simple and didn't explain the 6 modes but can be figured out. Good value for the price! 
5,Item received in good working condition. Really enjoyed the muscle toner gear everyday. Worth the money!!!
5,Nicely packed in a box for full set. Look OK and will try it out. Hope it works.
